,Sub Division,Year of Installation,Project Name,Meter Installation Date,Village,PV Cap. from Form,Ref. DC V,Actual DC V,String 1: DC V,String 1: DC A,String 2: DC V,String 2: DC A,AC V,AC A,Power (W),E-Today (kWh),E-Total (kWh),Gen. in Solar meter (kWh) ,Avg. Solar generation per kW,Verified,Current Status of Inverter,Check List 1: Connection tightness of AC/DC box is ok?,Check List 2: Tightness nearer to meter connection is ok?,Check List 3: Connection of Earthing & L.A. is ok?,Check List 4: DC/AC connector is ok?,Check List 5: Wire Dressing is ok?,Check List 6: Wifi Connection is ok?,Check List 7: Tightness of U & Z clamp is ok?,Check List 8: Colour of  Welding Joint is ok?,Check List 9: Concrete Block is there?,Check  List 10: Visual checking of all parts,Observation
972,RAMNAGAR SD,2018-19,2018-19R1026,4/10/2019,Adajan,2.275,210,239.0,239.0,4.1,0.0,0.0,242.0,4.1,992.0,6.2,8200.0,8435.0,3.45,Done,Normal,Yes,Yes,Nathi,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Ok
973,ADAJAN S DN,2018-19,2018-19R1016,4/11/2019,Adajan,2.275,210,217.3,217.3,5.0,0.0,0.0,251.0,4.3,1103.0,5.8,7935.0,7943.0,3.25,Done,Normal,Yes,Yes,Yes,Yes,Yes,WIFI not available at home (ઘર માં WIFI નથી.),Yes,Yes,Yes,Yes,"Ok, cebal ty correct "
974,ADAJAN S DN,2018-19,2018-19R0080,2/1/2019,Adajan,5.2,480,526.9,262.7,4.2,264.2,4.5,254.0,8.9,2194.0,16,21000.0,21328.0,3.59,Done,Normal,Yes,Yes,Yes,Yes,Yes,"WIFI is available at home but the range does not come up to the inverter. (ઘર માં WIFI છે. પણ, રેનજ નથી આવતી ઇન્વર્ટર સુધી.)",Yes,Yes,Not required (જરૂર નથી),Yes,"Ok,cebal ty correct ,sedaling correct "
975,PAL SD,2018-19,2018-19R01048,3/28/2019,Pal,2.6,240,272.2,272.2,2.6,0.0,0.0,254.0,2.0,486.0,7.4,9504.0,9550.0,3.37,Done,Normal,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not required (જરૂર નથી),Yes,Ok
976,AMROLI O&M SD,2018-19,2018-19R0173,4/1/2019,Kanand,5.2,480,542.0,280.0,2.7,262.0,2.8,250.0,5.8,1584.0,19,20000.0,20720.0,3.67,Done,Normal,Yes,Yes,Nathi,Yes,Yes,Yes,Yes,Yes,Yes,Ok,Ok
977,AMROLI O&M SD,2018-19,2018-19R0191,4/1/2019,Kanand,5.2,480,560.0,280.0,1.6,280.0,1.6,254.0,3.5,908.0,16,20000.0,20342.0,3.61,Done,Normal,Yes,Yes,Nathi,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Ok
978,ADAJAN S DN,2018-19,2018-19R0217,2/6/2019,Adajan,3.25,300,341.9,341.9,1.0,0.0,0.0,252.0,1.7,440.0,8.5,12000.0,12124.0,3.28,Done,Normal,Yes,Yes,Yes,Yes,Yes,WIFI not available at home (ઘર માં WIFI નથી.),Yes,Yes,Yes,Yes,Ok cebal ty correct 
979,RAMNAGAR SD,2018-19,2018-19R1031,3/16/2019,Adajan,2.275,210,241.0,241.0,4.7,0.0,0.0,251.0,4.7,1214.0,1.1,9220.0,9242.0,3.69,Done,Normal,Yes,Yes,Nathi,Yes,Yes,WIFI not available at home (ઘર માં WIFI નથી.),Yes,Yes,Yes,Yes,Ok
980,ADAJAN S DN,2019-20,2019-20R0152,1/1/2020,અડાજણ,5.94,540,589.0,319.0,4.4,270.0,3.4,255.0,5.4,1701.0,2.4,13000.0,12961.0,2.69,Done,Normal,Yes,Yes,Yes,Yes,Yes,"WIFI is available at home but the range does not come up to the inverter. (ઘર માં WIFI છે. પણ, રેનજ નથી આવતી ઇન્વર્ટર સુધી.)",Yes,Yes,Yes,Ok,Ok
981,ADAJAN S DN,2019-20,2019-20R0154,7/3/2020,અડાજણ,5.94,540,615.0,315.0,4.6,300.0,4.3,256.0,9.2,2093.0,4.3,10000.0,10729.0,2.88,Done,Normal,Yes,Yes,Yes,Yes,Yes,"WIFI is available at home but the range does not come up to the inverter. (ઘર માં WIFI છે. પણ, રેનજ નથી આવતી ઇન્વર્ટર સુધી.)",Yes,Yes,Yes,Yes,Ok
